source	target	mor	confidenceLevel	resource
arcA	SL2293	-1	Strong	RegulonDB
arcA	SL2294	-1	Strong	RegulonDB
arcA	SL2295	-1	Strong	RegulonDB
arcA	SL2296	-1	Strong	RegulonDB
arcA	SL2297	-1	Strong	RegulonDB
arcA	SL2306	1	Weak	RegulonDB
arcA	SL2324	-1	Strong	RegulonDB
arcA	SL2357	-1	Strong	RegulonDB
arcA	SL2358	-1	Strong	RegulonDB
arcA	SL2360	-1	Strong	RegulonDB
arcA	SL2377	1	Strong	RegulonDB
arcA	SL2488	-1	Strong	RegulonDB
arcA	SL2520	-1	Weak	RegulonDB
arcA	SL2610	1	Weak	RegulonDB
arcA	SL2612	1	Strong	RegulonDB
arcA	SL2618	-1	Strong	RegulonDB
arcA	SL2773	-1	Strong	RegulonDB
arcA	SL2903	-1	Strong	RegulonDB
arcA	SL3102	-1	Weak	RegulonDB
arcA	SL3117	-1	Weak	RegulonDB
arcA	SL3118	-1	Weak	RegulonDB
arcA	SL3119	-1	Weak	RegulonDB
arcA	SL3120	-1	Weak	RegulonDB
arcA	SL3121	-1	Weak	RegulonDB
arcA	SL3122	-1	Weak	RegulonDB
arcA	SL3123	-1	Weak	RegulonDB
arcA	SL3124	-1	Weak	RegulonDB
arcA	SL3192	-1	Strong	RegulonDB
arcA	SL3198	1	Strong	RegulonDB
arcA	SL3226	-1	Weak	RegulonDB
arcA	SL3230	-1	Weak	RegulonDB
arcA	SL3231	-1	Weak	RegulonDB
arcA	SL3232	-1	Weak	RegulonDB
arcA	SL3234	-1	Weak	RegulonDB
arcA	SL3331	-1	Strong	RegulonDB
arcA	SL3332	1	Strong	RegulonDB
arcA	SL3398	-1	Weak	RegulonDB
arcA	SL3399	-1	Weak	RegulonDB
arcA	SL3400	-1	Weak	RegulonDB
arcA	SL3401	-1	Weak	RegulonDB
arcA	SL3402	-1	Weak	RegulonDB
arcA	SL3403	-1	Weak	RegulonDB
arcA	SL3404	-1	Weak	RegulonDB
arcA	SL3405	-1	Weak	RegulonDB
arcA	SL3406	-1	Weak	RegulonDB
arcA	SL3407	-1	Weak	RegulonDB
arcA	SL3408	-1	Weak	RegulonDB
arcA	SL3461	-1	Strong	RegulonDB
arcA	SL3466	1	Strong	RegulonDB
arcA	SL3472	-1	Strong	RegulonDB
arcA	SL3492	-1	Strong	RegulonDB
arcA	SL3493	-1	Strong	RegulonDB
arcA	SL3574	-1	Strong	RegulonDB
arcA	SL3579	-1	Weak	RegulonDB
arcA	SL3596	1	Strong	RegulonDB
arcA	SL3627	1	Weak	RegulonDB
arcA	SL3657	-1	Strong	RegulonDB
arcA	SL3658	-1	Strong	RegulonDB
arcA	SL3659	-1	Strong	RegulonDB
arcA	SL3816	-1	Strong	RegulonDB
arcA	SL3876	1	Strong	RegulonDB
arcA	SL3910	-1	Strong	RegulonDB
arcA	SL3911	1	Strong	RegulonDB
arcA	SL3935	-1	Strong	RegulonDB
arcA	SL3936	-1	Strong	RegulonDB
arcA	SL3999	-1	Weak	RegulonDB
arcA	SL4004	-1	Weak	RegulonDB
arcA	SL4075	-1	Strong	RegulonDB
arcA	SL4103	-1	Strong	RegulonDB
arcA	SL4104	-1	Strong	RegulonDB
arcA	SL4118	-1	Weak	RegulonDB
arcA	SL4119	-1	Weak	RegulonDB
arcA	SL4120	-1	Weak	RegulonDB
arcA	SL4170	-1	Weak	RegulonDB
arcA	SL4171	-1	Weak	RegulonDB
arcA	SL4190	-1	Strong	RegulonDB
arcA	SL4192	-1	Strong	RegulonDB
arcA	SL4237	1	Weak	RegulonDB
arcA	SL4238	1	Strong	RegulonDB
arcA	SL4262	1	Strong	RegulonDB
arcA	SL4331	-1	Strong	RegulonDB
arcA	SL4384	1	Weak	RegulonDB
arcA	SL4489	-1	Strong	RegulonDB
arcA	SL4525	1	Strong	RegulonDB
argR	SL0068	-1	Strong	RegulonDB
argR	SL0080	1	Strong	RegulonDB
argR	SL0133	-1	Strong	RegulonDB
argR	SL0150	1	Strong	RegulonDB
argR	SL0806	-1	Strong	RegulonDB
argR	SL0839	-1	Strong	RegulonDB
argR	SL0854	-1	Strong	RegulonDB
argR	SL0863	-1	Strong	RegulonDB
argR	SL0864	-1	Strong	RegulonDB
argR	SL0865	-1	Strong	RegulonDB
argR	SL0866	-1	Strong	RegulonDB
argR	SL0867	-1	Strong	RegulonDB
argR	SL0877	-1	Strong	RegulonDB
argR	SL0897	-1	Strong	RegulonDB
argR	SL0930	-1	Strong	RegulonDB
argR	SL1238	1	Strong	RegulonDB
argR	SL1239	1	Strong	RegulonDB
argR	SL1240	1	Strong	RegulonDB
argR	SL1241	1	Strong	RegulonDB
argR	SL1242	1	Strong	RegulonDB
argR	SL1261	-1	Strong	RegulonDB
argR	SL1407	-1	Strong	RegulonDB
argR	SL2308	-1	Strong	RegulonDB
argR	SL2320	-1	Strong	RegulonDB
argR	SL2321	-1	Strong	RegulonDB
argR	SL2322	-1	Strong	RegulonDB
argR	SL2323	-1	Strong	RegulonDB
argR	SL2332	-1	Strong	RegulonDB
argR	SL2433	1	Strong	RegulonDB
argR	SL2445	1	Strong	RegulonDB
argR	SL2783	-1	Strong	RegulonDB
argR	SL2970	-1	Strong	RegulonDB
argR	SL3102	1	Strong	RegulonDB
argR	SL3255	-1	Strong	RegulonDB
argR	SL3256	-1	Strong	RegulonDB
